name,desp,example,synx,parameter,output,module
div(),The div() function in C++ computes the integral quotient and remainder of the division of two numbers.,"div_t:
struct div_t {
	int quot;
	int rem;
};

ldiv_t:
struct ldiv_t {
	long quot;
	long rem;
};

lldiv_t:
struct lldiv_t {
	long long quot;
	long long rem;
};","div_t div(int x, int y);
ldiv_t div(long x, long y);
lldiv_t div(long long x, long long y);","x: Represents the numerator.
y: Represents the denominator.","Quotient of 51/6 = 8
Remainder of 51/6 = 3
Quotient of 19237012L/251L = 76641
Remainder of 19237012L/251L = 121",Cstdlib
qsort(),The qsort() function in C++ sorts a given array in ascending order using Quicksort algorithm.,"int compare(const void* a, const void* b);","void qsort (void* base, size_t num, size_t size, int (*compare)(const void*,const void*));","base: Pointer to the first element of the array to sort
num: Number of element in the array
size: Size in bytes of each element in the array
compare: A pointer to a function that that compares two elements. It returns
		
a negative integer if the first argument is less than the second
a positive integer if the first argument is greater than the second
zero if both arguments are equalThe prototype of the comparison function looks like:int compare(const void* a, const void* b);","Before sorting
9 4 19 2 7 9 5 15 23 3
After sorting
2 3 4 5 7 9 9 15 19 23",Cstdlib
bsearch(),The bsearch() function in C++ performs a binary search of an element in an array of elements and returns a pointer to the element if found.,"int compare(const void* a, const void* b);","void* bsearch (const void* key, const void* base, size_t num, size_t size, int (*compare)(const void*,const void*));","key: Pointer to the element to search
base: Pointer to the first element of the array
num: Number of element in the array
size: Size in bytes of each element in the array
compare: A pointer to a function that that compares two elements. It returns
		
a negative integer if the first argument is less than the second
a positive integer if the first argument is greater than the second
zero if both arguments are equalkey is passed as the first argument and an element from the array is passed as the second argument. The prototype of the comparison function looks like:int compare(const void* a, const void* b);","10 found at position 2
15 not found",Cstdlib
_Exit(),The _Exit() function in C++ causes normal termination of a process without performing any regular cleanup tasks.,"#include <iostream>
#include <cstdlib>
using namespace std;

int main()
{
	int exit_code;
	cout << ""Enter a value: "";
	cin >> exit_code;

	if (exit_code)
	{
		cout << ""Exiting using _Exit"";
		_Exit(exit_code);
	}
	else
	{
		cout << ""Exiting using exit"";
		exit(exit_code);
	}
}",void _Exit(int exit_code);,"exit_code: An integer value representing the exit status of the program.If exit_code is zero or EXIT_SUCCESS, it indicates successful termination.
If exit_code is non-zero or EXIT_FAILURE, it indicates failure.","Enter a value: 5
Exiting using _Exit",Cstdlib
quick_exit(),The quick_exit() function in C++ causes normal termination of a process without completely cleaning the resources.,"#include <iostream>
#include <cstdlib>
using namespace std;

void quick_exit1()
{
	cout << ""Exit Function 1"" << endl;
}
void quick_exit2()
{
	cout << ""Exit Function 2"" << endl;
}

int main()
{
	/* registering function */
	at_quick_exit(quick_exit1);
	at_quick_exit(quick_exit2);

	quick_exit(0);
	return 0;
}",void quick_exit(int exit_code);,"exit_code: An integer value representing the exit status of the program.If exit_code is zero or EXIT_SUCCESS, it indicates successful termination.
If exit_code is non-zero or EXIT_FAILURE, it indicates failure.","Exit Function 2
Exit Function 1",Cstdlib
getenv(),The getenv() function in C++ returns a pointer to a C string containing the value of the environment variable passed as argument.,"#include <iostream>
#include <cstdlib>
using namespace std;

int main()
{
	/* A list of possible environment variables*/
	const char *env_var[5] = {""PUBLIC"",""HOME"",""SESSIONNAME"",""LIB"",""SystemDrive""};
	char *env_val[5];

	for(int i=0; i<5; i++)
	{
		/* Getting environment value if exists */
		env_val[i] = getenv(env_var[i]);
		if (env_val[i] != NULL)
			cout << ""Variable = "" << env_var[i] << "", Value= "" << env_val[i] << endl;
		else
			cout << env_var[i] << "" doesn't exist"" << endl;
	}
}",char* getenv( const char* env_var );,env_var: C string containing the name of the environment variable.,"Variable = PUBLIC, Value= C:\Users\Public
HOME doesn't exist
Variable = SESSIONNAME, Value= Console
LIB doesn't exist
Variable = SystemDrive, Value= C:",Cstdlib
at_quick_exit(),The at_quick_exit() function in C++ registers a function to be called on quick program termination i.e. terminated via quick_exit().,"#include <iostream>
#include <cstdlib>
using namespace std;

void bye()
{
	cout << ""Program Exiting via quick_exit()"";
}

int main()
{
	at_quick_exit(bye);
	cout << ""Inside Main"" << endl;

	quick_exit(0);
	return 0;
}",extern int at_quick_exit (void (*func)(void));,func: Pointer to the function to be called on quick program termination.,"Inside Main
Program Exiting via quick_exit()",Cstdlib
atexit(),The atexit() function in C++ registers a function to be called on normal program termination.,"#include <iostream>
#include <cstdlib>
using namespace std;

void bye()
{
	cout << ""Program Exiting Successfully"";
}

int main()
{
	int x;
	x = atexit(bye);

	if (x != 0)
	{
		cout << ""Registration Failed"";
		exit(1);
	}

	cout << ""Registration successful"" << endl;
	return 0;
}",extern int atexit (void (*func)(void));,func: Pointer to the function to be called on normal program termination.,"Registration successful
Program Exiting Successfully",Cstdlib
realloc(),The realloc() function in C++ reallocates a block of memory that was previously allocated but not yet freed.,"#include <iostream>
#include <cstdlib>
using namespace std;
int main()
{
	float *ptr, *new_ptr;
	ptr = (float*) malloc(5*sizeof(float));
	if(ptr==NULL)
	{
		cout << ""Memory Allocation Failed"";
		exit(1);
	}

	/* Initializing memory block */
	for (int i=0; i<5; i++)
	{
		ptr[i] = i*1.5;
	}

	/* reallocating memory */
	new_ptr = (float*) realloc(ptr, 10*sizeof(float));
	if(new_ptr==NULL)
	{
		cout << ""Memory Re-allocation Failed"";
		exit(1);
	}
	
	/* Initializing re-allocated memory block */
	for (int i=5; i<10; i++)
	{
		new_ptr[i] = i*2.5;
	}
	cout << ""Printing Values"" << endl;
	
	for (int i=0; i<10; i++)
	{
		cout << new_ptr[i] << endl;
	}
	free(new_ptr);
	
	return 0;
}","void* realloc(void* ptr, size_t new_size);","ptr: A pointer to the memory block to be reallocated.
new_size: An unsigned integral value which represents the new size of the memory block in bytes.","Printing Values
0
1.5
3
4.5
6
12.5
15
17.5
20
22.5",Cstdlib
malloc(),The malloc() function in C++ allocates a block of uninitialized memory and returns a void pointer to the first byte of the allocated memory block if the allocation succeeds.,"#include <iostream>
#include <cstdlib>
using namespace std;

int main()
{
	int *ptr;
	ptr = (int*) malloc(5*sizeof(int));

	if(!ptr)
	{
		cout << ""Memory Allocation Failed"";
		exit(1);
	}
	cout << ""Initializing values..."" << endl << endl;

	for (int i=0; i<5; i++)
	{
		ptr[i] = i*2+1;
	}
	cout << ""Initialized values"" << endl;

	for (int i=0; i<5; i++)
	{
		/* ptr[i] and *(ptr+i) can be used interchangeably */
		cout << *(ptr+i) << endl;
	}

	free(ptr);
	return 0;
}",void* malloc(size_t size);,size: An unsigned integral value which represents the memory block in bytes.,"Initializing values...

Initialized values
1
3
5
7
9",Cstdlib
free(),"The free() function in C++ deallocates a block of memory previously allocated using calloc, malloc or realloc functions, making it available for further allocations.","#include <iostream>
#include <cstdlib>
using namespace std;

int main()
{
	int *ptr;
	ptr = (int*) malloc(5*sizeof(int));
	cout << ""Enter 5 integers"" << endl;

	for (int i=0; i<5; i++)
	{
	// *(ptr+i) can be replaced by ptr[i]
		cin >> *(ptr+i);
	}
	cout << endl << ""User entered value""<< endl;

	for (int i=0; i<5; i++)
	{
		cout << *(ptr+i) << "" "";
	}
	free(ptr);

	/* prints a garbage value after ptr is free */
	cout << ""Garbage Value"" << endl;

	for (int i=0; i<5; i++)
	{
		cout << *(ptr+i) << "" "";
	}
	return 0;
}",void free(void *ptr);,"ptr: A pointer to a memory block previously allocated with malloc, calloc or realloc. The pointer may be null or may not point to a block of memory allocated by calloc, malloc or realloc functions.

		
If ptr is null, the free() function does nothing.
If ptr does not point to a memory block allocated by calloc, malloc or realloc functions, it causes undefined behavior.","Enter 5 integers
21 3 -10 -13 45
User entered value
21 3 -10 -13 45
Garbage Value
6690624 0 6685008 0 45",Cstdlib
srand(),The srand() function in C++ seeds the pseudo random number generator used by the rand() function.,"#include<iostream>
#include<cstdlib>
using namespace std;

int main()
{
	int random = rand();
	/* No srand() calls before rand(), so seed = 1*/
	cout << ""Seed = 1, Random number = "" << random << endl;

	srand(5);
	/* Seed = 5 */
	random = rand();
	cout << ""Seed = 5, Random number = "" << random << endl;

	return 0;
}",void srand(unsigned int seed);,seed: A seed value of type unsigned int,"Seed = 1, Random number = 41
Seed = 5, Random number = 54",Cstdlib
strtoull(),The strtoull() function in C++ interprets the contents of a string as an integral number of the specified base and return its value as an unsigned long long int.,"#include <iostream>
#include <cstdlib>
#include <cstring>
 
using namespace std;
 
int main()
{
 	int base = 10;
 	char numberString[] = ""231ax12"";
 	char *end;
 	unsigned long long int number;
 	
 	number = strtoull(numberString, &end, base);
 	cout << ""String value = "" << numberString << endl;
 	cout << ""Unsigned Long long int value = "" << number << endl;
 	cout << ""End String = "" << end << endl;
 	
 	strcpy(numberString, ""231"");
 	cout << ""String value = "" << numberString << endl;
 	number = strtoull(numberString, &end, base);
 	cout << ""Unsigned Long long int value = "" << number << endl;
 	if (*end) {
      	cout << end;
 	} else {
      	cout << ""Null pointer"";
 	}
 	return 0;
}","unsigned long long int strtoull(const char* str, char** end, int base);","str: A string having the representation of an integral number.
end: Reference to an already allocated object of type char*. The value of end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","String value = 231ax12
Unsigned Long long int value = 231
End String = ax12
String value = 231
Unsigned Long long int value = 231
Null pointer",Cstdlib
strtoll(),The strtoll() function in C++ interprets the contents of a string as an integral number of the specified base and return its value as a long long int.,"#include <iostream>
#include <cstdlib>
#include <cstring>

using namespace std;

int main()
{
	int base = 10;
	char numberString[] = ""13.5ab_1x"";
	char *end; 
	long long int number;
	
	number = strtoll(numberString, &end, base);
	cout << ""String value = "" << numberString << endl;
	cout << ""Long long int value = "" << number << endl;
	cout << ""End String = "" << end << endl;
	
	strcpy(numberString, ""13"");
	cout << ""String value = "" << numberString << endl;
	number = strtoll(numberString, &end, base);
	cout << ""Long long int value = "" << number << endl;
	if (*end) {
		cout << end;
	} else {
		cout << ""Null pointer"";
	}
	return 0;
}","long long int strtoll(const char* str, char** end, int base);","str: A string having the representation of an integral number.
end: Reference to an already allocated object of type char*. The value of end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","String value = 13.5ab_1x
Long long int value = 13
End String = .5ab_1x
String value = 13
Long long int value = 13
Null pointer",Cstdlib
atol(),The atol() function in C++ interprets the contents of a string and returns its corresponding integer value.,"#include <iostream>
#include <cstdlib>
using namespace std;

int main()
{
	char s[] = ""-114""; 
	double number;
	cout << ""Number in String = "" << s << endl;

	number = atol(s);
	cout << ""Number in Long Int = "" << number;
	
	return 0;
}",long int atol(const char* str);,str - A string having the representation of an integral number.,"Number in String = -114
Number in Long Int = -114",Cstdlib
strtol(),The strtol() function in C++ interprets the contents of a string as an integral number of the specified base and return its value as a long int.,"#include <iostream>
#include <cstdlib>

using namespace std;

int main()
{
    int base = 10;
    char str[] = ""27ab_1x"";
    char *end; 
    long int num;
    
    num = strtol(str, &end, base);
    cout << ""Number in  String = "" << str << endl;
    cout << ""Number in Long Int = "" << num << endl;
    cout << ""End String = "" << end << endl << endl;
    
    // the pointer to invalid characters can be null
    strcpy(str, ""27"");
    cout << ""Number in  String = "" << str << endl;
    num = strtol(str, &end, base);
    cout << ""Number in Long Int = "" << num << endl;
    if (*end) {
        cout << end;
    } else {
        cout << ""Null pointer"";
    }
    return 0;
}","long int strtol(const char* str, char** end, int base);","str: A string having the representation of an integral number.
end: Reference to an already allocated object of type char*. The value of end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.
base: The base of the integral value. The set of valid values for base is {0, 2, 3, …, 35, 36}.","Number in  String = 27ab_1x
Number in Long Int = 27
End String = ab_1x

Number in  String = 27
Number in Long Int = 27
Null pointer",Cstdlib
atof(),The atof() function in C++ interprets the contents of a string as a floating point number and return its value as a double.,"#include <iostream>
#include <cstdlib>

using namespace std;

int main()
{
	char numberString[] = ""-32.40""; 
	double numberInDouble;
	cout << ""Number in  String = "" << numberString << endl;

	numberInDouble = atof(numberString);
	cout << ""Number in Double = "" << numberInDouble;
	
	return 0;
}",double atof(const char* str);,str - A string having the representation of a floating point number.,"Number in  String = -32.40
Number in Double = -32.4",Cstdlib
strtod(),The strtod() function in C++ interprets the contents of a string as a floating point number and return its value as a double.,"#include <iostream>
#include <cstdlib>

using namespace std;

int main()
{
    char numberString[] = ""12.44b 0xy"";
    char *end;
    double number;

    number = strtod(numberString,&end);
    cout << ""Number in String = "" << numberString << endl;
    cout << ""Number in Double = "" << number << endl;
    cout << ""End String = "" << end << endl;

    return 0;
}","double strtod(const char* str, char** end);","str: A string having the representation of a floating point number.
end: Reference to an already allocated object of type char*. The value of end is set by the function to the next character in str after the last valid character. This parameter can also be a null pointer, in which case it is not used.","Number in End String = 12.44b 0xy
Number in Double = 12.44
String = b 0xy",Cstdlib
wclog,The wclog object in C++ is an object of class wostream. It is associated with the standard C error output stream stderr.,extern ostream wclog;,extern ostream wclog;,"wclog and wcerr, both are associated with stderr, but it differs from wcerr in the sense that the streams in wclog are buffered and not automatically tied with wcout.Buffered output is more efficient than unbuffered output. In the case of buffered output, all the output is saved into a variable and written to disk all at once. For unbuffered output, we have to keep writing to disk.Buffered output isn't preferred for critical errors. In case of system crash, there can come a situation where the output was still in buffer and wasn't written to disk and the error message cannot be retrieved. We cannot afford to lose error data in case of system crash so we keep writing the critical errors to disc even though it is slower.wclog is commonly used for logging purposes. For non-critical event logging, efficiency is more important so wclog is preferred to wcerr.",Error while opening the file data.txt,Iostream
wcerr,The wcerr object in C++ is an object of class ostream. It is associated with the standard C error output stream stderr.,extern wostream wcerr;,extern wostream wcerr;,"Beginner C++ programmers use cout and wcout to display the error using standard output to debug their programs, but it is always good practice to use cerr and wcerr to display errors.This is because instead of showing the error stream to the screen, you can later change the error stream to write the errors to a file.",Error while opening the file data.txt,Iostream
wcout,The wcout object in C++ is an object of class wostream. It is used to display the output to the standard output device i.e. monitor. It is associated with the standard C output stream stdout.,extern wostream wcout;,extern wostream wcout;,"extern wostream wcout;It is defined in <iostream> header file.The wcout object is ensured to be initialized during or before the first time an object of type ios_base::Init is constructed. After the wcout object is constructed, it is tied to wcin which means that any input operation on wcin executes wcout.flush().The ""wc"" in wcout refers to ""wide character"" and 'out' means ""output"", hence wcout means ""wide character output"".The wcout object is used along with the insertion operator (<<) in order to display a stream of characters. The general syntax is:wcout << varName;orwcout << ""Some String"";The extraction operator can be used more than once with a combination of variables, strings and manipulators (like endl):wcout << var1 << ""Some String"" << var2 << endl;The wcout object can also be used with other member functions such as put(), write(), etc. Some of the commonly used member functions are:wcout.put(wchar_t &ch): Displays the wide character stored by ch.
wcout.write(wchar_t *str, int n): Displays the first n character reading from str.
wcout.setf(option): Sets a given option. Commonly used options are left, right, scientific, fixed, etc.
wcout.unsetf(option): Unsets a given option.
wcout.precision(int n): Sets the decimal precision to n while displaying floating-point values. Same as wcout << setprecision(n).","Enter 2 integers:4 9
Sum = 13
Enter a string:today
You entered today",Iostream
wcin,The wcin object in C++ is an object of class wistream. It is used to accept the input from the standard input device i.e. keyboard. It is associated with the standard C input stream stdin.,extern wistream wcin;,extern wistream wcin;,"extern wistream wcin;It is defined in <iostream> header file.The wcin object is ensured to be initialized during or before the first time an object of type ios_base::Init is constructed. After the wcin object is constructed, wcin.tie() returns &wcout which means that any formatted input operation on wcin forces a call to wcout.flush() if any characters are pending for output.The ""wc"" in wcin refers to ""wide character"" and 'in' means ""input"", hence wcin means ""wide character input"". The wcin object is used along with the extraction operator (>>) in order to receive a stream of characters. The general syntax is:wcin >> varName;The extraction operator can be used more than once to accept multiple inputs as:wcin >> var1 >> var2 >> … >> varN;The wcin object can also be used with other member functions such as getline(), read(), etc. Some of the commonly used member functions are:wcin.get(wchar_t &ch): Reads an wide character and store it in ch.
wcin.getline(wchar_t *buffer, int length): Reads a stream of wide characters into the string buffer, It stops when
		
it has read length-1 characters or
when it finds an end-of-line character ('\n') or the end of the file.


wcin.read(wchar_t *buffer, int n): Reads n bytes (or until the end of the file) from the stream into the buffer.
wcin.ignore(int n): Ignores the next n characters from the input stream.
wcin.eof(): Returns a nonzero value if the end of file (eof) is reached.","Enter a word: kathmandu
kathmandu",Iostream
cout,The cout object in C++ is an object of class ostream. It is used to display the output to the standard output device i.e. monitor. It is associated with the standard C output stream stdout.,"#include <iostream>

using namespace std;

int main()
{
	int a,b;
	char str[] = ""Hello Programmers"";
	
	/* Single insertion operator */
	cout << ""Enter 2 numbers - "";
	cin >> a >> b;
	cout << str;
	cout << endl;
	
	/* Multiple insertion operator */
	cout << ""Value of a is "" << a << endl << ""Value of b is "" << b;
	
	return 0;
}",extern ostream cout;,"#include <iostream>

using namespace std;

int main()
{
	int a,b;
	char str[] = ""Hello Programmers"";
	
	/* Single insertion operator */
	cout << ""Enter 2 numbers - "";
	cin >> a >> b;
	cout << str;
	cout << endl;
	
	/* Multiple insertion operator */
	cout << ""Value of a is "" << a << endl << ""Value of b is "" << b;
	
	return 0;
}When you run the program, a possible output will be:Enter 2 numbers - 6 17
Hello Programmers
Value of a is 6
Value of b is 17","Enter 2 numbers - 6 17
Hello Programmers
Value of a is 6
Value of b is 17",Iostream
strxfrm(),The strxfrm() function in C++ transforms a given null terminated byte string into an implementation defined form.,"#include <iostream>
#include <cstring>
#include <clocale>
using namespace std;
int main()
{
	setlocale(LC_COLLATE, ""cs_CZ.UTF-8"");
	const char* s1 = ""hrnec"";
	const char* s2 = ""chrt"";
	char t1[20], t2[20];

	cout << ""strcoll returned "" << strcoll(s1,s2) << endl;
	cout << ""Before transformation, "" << ""strcmp returned "" << strcmp(s1,s2) << endl;

	strxfrm(t1,s1,10);
	strxfrm(t2,s2,10);
	cout << ""After transformation, "" << ""strcmp returned "" << strcmp(t1,t2) << endl;

	return 0;
}","size_t strxfrm(char* dest, const char* src, size_t count);","dest: pointer to the array where the transformed string is stored.
src: pointer to the null terminated string to be transformed.
count: maximum number of characters to convert.","strcoll returned -1
Before transformation, strcmp returned 1
After transformation, strcmp returned -1",Cstring
strcoll(),The strcoll() function in C++ compares two null terminating string. The comparison is based on the current locale defined by the LC_COLLATE category.,"#include <cstring>
#include <iostream>
using namespace std;

int main()
{
	char lhs[] = ""Armstrong"";
	char rhs[] = ""Army"";
	int result;
	result = strcoll(lhs,rhs);

	cout << ""In the current locale "";
	if(result > 0)
		cout << rhs << "" precedes "" << lhs << endl;
	else if (result < 0)
		cout << lhs << "" precedes "" << rhs << endl;
	else
		cout << lhs << "" and "" << rhs << "" are same"" << endl;
		
	return 0;
}","int strcoll( const char* lhs, const char* rhs );",lhs and rhs: Pointer to the null terminated strings to compare.,In the current locale Armstrong precedes Army,Cstring
strlen(),The strlen() function in C++ returns the length of the given string.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char str1[] = ""This a string"";
    char str2[] = ""This is another string"";
    
    int len1 = strlen(str1);
    int len2 = strlen(str2);

    cout << ""Length of str1 = "" << len1 << endl;
    cout << ""Length of str2 = "" << len2 << endl;
    if (len1 > len2)
        cout << ""str1 is longer than str2"";
    else if (len1 < len2)
        cout << ""str2 is longer than str1"";
    else
        cout << ""str1 and str2 are of equal length"";

    return 0;
}",size_t strlen( const char* str );,str: Pointer to the null terminated byte string whose length is to be calculated.,"Length of str1 = 13
Length of str2 = 22
str2 is longer than str1",Cstring
strerror(),The strerror() function in C++ returns the textual description of the system error code.,"#include <cstring>
#include <cmath>
#include <cstdio>
#include <cerrno>
#include <iostream>

using namespace std;

int main()
{
    float log_neg = log(-2.5);
    cout << ""Log of negative number : "" << strerror(errno) << endl;

    /* example.txt does not exist */
    FILE * fp = fopen(""example.txt"",""r"");
    if (fp == NULL)
        cout << ""Error opening file : "" << strerror(errno) << endl;

    return 0;
}",char* strerror( int errnum );,errnum: An integer value representing the error code.,"Log of negative number : Numerical argument out of domain
Error opening file : No such file or directory",Cstring
memset(),The memset() function in C++ copies a single character for a specified number of time to an object.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char dest[50];
    char ch = 'a';
    memset(dest, ch, 20);

    cout << ""After calling memset"" << endl;
    cout << ""dest contains "" << dest; 
    return 0;
}","void* memset( void* dest, int ch, size_t count );","dest: Pointer to the object to copy the character.
ch: The character to copy.
count: Number of times to copy.","After calling memset
dest contains aaaaaaaaaaaaaaaaaaaa",Cstring
strtok(),The strtok() function in C++ returns the next token in a null terminated byte string.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char str[] = ""parrot,owl,sparrow,pigeon,crow"";
    char delim[] = "","";
    cout << ""The tokens are:"" << endl;
    char *token = strtok(str,delim);
    while (token)
    {
        cout << token << endl;
        token = strtok(NULL,delim);
    }
    return 0;
}","char* strtok( char* str, const char* delim );","str: Pointer to the null terminated byte string to tokenize.
delim: Pointer to the null terminated byte string that contains the separators.","The tokens are:
parrot
owl
sparrow
pigeon
crow",Cstring
strstr(),The strstr() function in C++ finds the first occurrence of a substring in a string.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char str[] = ""Use your brain and heart"";
    char target[] = ""brain"";
    char *p = strstr(str, target);
    
    if (p)
        cout << ""'"" << target << ""' is present in \"""" << str << ""\"" at position "" << p-str;
    else
        cout << target << "" is not present \"""" << str << ""\"""";

    return 0;
}","const char* strstr( const char* str, const char* target );
char* strstr( char* str, const char* target );","str: Pointer to the null terminated byte string to be searched for.
target: Pointer to the null terminated byte string to search for.","'brain' is present in ""Use your brain and heart"" at position 9",Cstring
strspn(),The strspn() function in C++ takes two string dest and src and gives the length of maximum initial segment of the string dest that consists of characters that are present in the string src.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char src[] = ""0123456789"";
    char dest[] = ""190126abqs121kfew"";
    
    size_t length = strspn(dest, src);

    cout << dest << "" contains "" << length << "" initial numbers"";
    return 0;
}","size_t strspn( const char* dest, const char* src );","dest: Pointer to the null terminated byte string to be searched for.
src: Pointer to the null terminated byte string that contains the characters to search for.",190126abqs121kfew contains 6 initial numbers,Cstring
strrchr(),The strrchr() function in C++ searches for the last occurrence of a character in a string.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char str[] = ""Hello World!"";
    char ch = 'o';
    char *p = strrchr(str, ch);
    
    if (p)
        cout << ""Last position of "" << ch << "" in \"""" << str << ""\"" is "" << p-str;
    else
        cout << ch << "" is not present \"""" << str << ""\"""";

    return 0;
}","const char* strrchr( const char* str, int ch );
char* strrchr( char* str, int ch );","ptr: Pointer to the null terminated string to be searched for.
ch: Character to search for.","Last position of o in ""Hello World!"" is 7",Cstring
strpbrk(),The strpbrk() function in C++ searches for a set of characters present in a string in another string.,"#include <iostream>
#include <cstdio>

using namespace std;

int main()
{
    char digits[] = ""0123456789"";
    char code[] = ""ceQasieoLPqa4xz10Iyq"";
    char *pos;
    int count = 0;

    pos = strpbrk (code, digits);
    while (pos != NULL)
    {
        pos = strpbrk (pos+1,digits);
        count ++;
    }

    cout << ""There are "" << count << "" numbers in "" << code;

    return 0;
}","const char* strpbrk( const char* dest, const char* breakset );
char* strpbrk( char* dest, const char* breakset );","dest: Pointer to a null terminated string to be searched.
breakset: Pointer to a null terminated string containing the characters to search for.",There are 3 numbers in ceQasieoLPqa4xz10Iyq,Cstring
strcspn(),The strcspn() function in C++ takes two null terminated byte string: dest and src as its argument and searches dest for any characters that is present in src.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char num[] = ""0123456789"";
    char code[] = ""ceQasieoLPqa4xz10Iyq"";

    size_t result = strcspn(code, num);

    if (result < strlen(code))
        cout << ""First occurrence of number in "" << code << "" is at position "" << result;
    else
        cout << code << "" does not contain numbers"";

    return 0;
}","size_t strcspn( const char *dest, const char *src );","dest: Pointer to a null terminated string to be searched.
src: Pointer to a null terminated string containing the characters to search for.",First occurrence of number in ceQasieoLPqa4xz10Iyq is at position 12,Cstring
strchr(),The strchr() function in C++ searches for the first occurrence of a character in a string.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char str[] = ""Programming is easy."";
    char ch = 'r';
    
    if (strchr(str, ch))
        cout << ch << "" is present \"""" << str << ""\"""";
    else
        cout << ch << "" is not present \"""" << str << ""\"""";

    return 0;
}","const char* strchr( const char* str, int ch );
char* strchr( char* str, int ch );","ptr: Pointer to the null terminated string to be searched for.
ch: Character to search for.","r is present ""Programming is easy.""",Cstring
memchr(),The memchr() function in C++ searches for the first occurrence of a character in a specified number of characters.,"#include <cstring>
#include <iostream>

using namespace std;

int main()
{
    char ptr[] = ""This is a random string"";
    char ch = 'r';
    int count = 15;
    
    if (memchr(ptr,ch, count))
        cout << ch << "" is present in first "" << count << "" characters of \"""" << ptr << ""\"""";
    else
        cout << ch << "" is not present in first "" << count << "" characters of \"""" << ptr << ""\"""";

    return 0;
}","const void* memchr( const void* ptr, int ch, size_t count );
void* memchr( void* ptr, int ch, size_t count );","ptr: Pointer to the object to be searched for.
ch: Character to search for.
count: Number of character to be searched for.","r is present in first 15 characters of ""This is a random string""",Cstring
strncmp(),The strncmp() function in C++ compares a specified number of characters of two null terminating strings. The comparison is done lexicographically.,"#include <cstring>
#include <iostream>

using namespace std;

void display(char *lhs, char *rhs, int result, int count)
{
    if(result > 0)
        cout << rhs << "" precedes "" << lhs << endl;
    else if (result < 0)
        cout << lhs << "" precedes "" << rhs << endl;
    else
        cout << ""First "" << count << "" characters of "" << lhs << "" and "" << rhs << "" are same"" << endl;
}

int main()
{
    char lhs[] = ""Armstrong"";
    char rhs[] = ""Army"";
    int result;

    result = strncmp(lhs,rhs,3);
    display(lhs,rhs,result,3);

    result = strncmp(lhs,rhs,4);
    display(lhs,rhs,result,4);

    return 0;
}","int strncmp( const char* lhs, const char* rhs, size_t count );","lhs and rhs: Pointer to the null terminated strings to compare.
count: Maximum number of characters to compare.","First 3 characters of Armstrong and Army are same
Armstrong precedes Army",Cstring
strcmp(),The strcmp() function in C++ compares two null terminating string. The comparison is done lexicographically.,"#include <cstring>
#include <iostream>

using namespace std;

void display(char *lhs, char *rhs, int result)
{
    if(result > 0)
        cout << rhs << "" precedes "" << lhs << endl;
    else if (result < 0)
        cout << lhs << "" precedes "" << rhs << endl;
    else
        cout << lhs << "" and "" << rhs << "" are same"" << endl;
}

int main()
{
    char lhs[] = ""Armstrong"";
    char rhs[] = ""Army"";
    int result;

    result = strcmp(lhs,rhs);
    display(lhs,rhs,result);

    result = strcmp(lhs,lhs);
    display(lhs,lhs,result);

    return 0;
}","int strcmp( const char* lhs, const char* rhs );",lhs and rhs: Pointer to the null terminated strings to compare.,"Armstrong precedes Army
Armstrong and Armstrong are same",Cstring
memcmp(),The memcmp() function in C++ compares a specified number of characters of two pointer objects,"#include <cstring>
#include <iostream>

using namespace std;

void display(char *lhs, char *rhs, int result, int count)
{
    if(result > 0)
        cout << rhs << "" precedes "" << lhs << endl;
    else if (result < 0)
        cout << lhs << "" precedes "" << rhs << endl;
    else
        cout << ""First "" << count << "" characters of "" << lhs << "" and "" << rhs << "" are same"" << endl;
}

int main()
{
    char lhs[] = ""Hello World!"";
    char rhs[] = ""Hello Earth!"";
    int result;

    result = memcmp(lhs, rhs, 5);
    display(lhs, rhs, result, 5);
    
    result = memcmp(lhs, rhs, 7);
    display(lhs, rhs, result, 7);
    return 0;
}","int memcmp( const void* lhs, const void* rhs, size_t count );","lhs and rhs: Pointer to the memory objects to compare.
count: Maximum numbers of bytes to compare.","First 5 characters of Hello World! and Hello Earth! are same
Hello Earth! precedes Hello World!",Cstring
